"filename", "language", "HTML", "CSS", "Django txt", "Markdown", "Python", "YAML", "Groovy", "Jupyter", "Properties", "Dart", "C++", "PHP", "Swift", "XML", "JSON", "JavaScript", "Kotlin", "comment", "blank", "total"
"/home/aryan/Documents/newsih2020/sih2020/AppDevNew/myapp/lib/widgets/entryFields.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 2, 5, 40
"/home/aryan/Documents/newsih2020/sih2020/AppDevNew/myapp/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 16, 86
"/home/aryan/Documents/newsih2020/sih2020/AppDevNew/myapp/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/SihProject/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/SihProject/asgi.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/SihProject/router.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/SihProject/settings.py", "Python", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 123
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/SihProject/urls.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 37
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/SihProject/wsgi.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/api_check.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 28
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/manage.py", "Python", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/milestones.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/MLModel/Detector_class/garbage_detector.py", "Python", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/MLModel/Detector_class/test.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/MLModel/README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/MLModel/animal_detection/detect_animals.ipynb", "Jupyter", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 117
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/MLModel/animal_detection/detect_animals.py", "Python", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 55
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/MLModel/garbage_detection/garbage_detection.ipynb", "Jupyter", 0, 0, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 283
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/aryan/Documents/newsih2020/sih2020/Backend/SihProject/proj/admin.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
